,Date,Steps,Distancia,Calories
370,2021-12-07,4356,2.85274,1543
371,2021-12-08,3769,2.43503,1529
372,2021-12-09,4907,3.20152,1670
373,2021-12-10,8636,5.59153,1917
374,2021-12-11,8245,5.34601,1692
375,2021-12-12,143,0.09272,1280
376,2021-12-13,6963,4.514679999999999,1760
377,2021-12-14,5273,3.34042,1618
378,2021-12-15,5073,3.2892799999999998,1598
379,2021-12-16,6352,4.10691,1704
380,2021-12-17,6685,4.293019999999999,1716
381,2021-12-18,3027,1.98637,1548
382,2021-12-19,0,0.0,1270
383,2021-12-20,3658,2.37175,1545
384,2021-12-21,0,0.0,1270
385,2021-12-22,0,0.0,1271
386,2021-12-23,4668,3.02664,1603
387,2021-12-24,5221,3.38509,1632
388,2021-12-25,0,0.0,1270
389,2021-12-26,4674,3.18262,1602
390,2021-12-27,7737,5.02309,1815
391,2021-12-28,10793,7.35987,1800
392,2021-12-29,5793,3.60688,1694
393,2021-12-30,3192,2.0697099999999997,1490
394,2021-12-31,0,0.0,1271
395,2022-01-01,0,0.0,1270
396,2022-01-02,4974,2.8676999999999997,1628
397,2022-01-03,7569,4.96546,1818
398,2022-01-04,4269,2.80125,1569
399,2022-01-05,4726,3.04831,1635
400,2022-01-06,5825,3.7768699999999997,1695
401,2022-01-07,8857,5.795929999999999,1885
402,2022-01-08,0,0.0,1271
403,2022-01-09,2032,1.31757,1369
404,2022-01-10,5213,3.3799599999999996,1649
405,2022-01-11,3729,2.4372499999999997,1595
406,2022-01-12,3451,2.23761,1547
407,2022-01-13,5153,3.351,1694
408,2022-01-14,7893,5.1376,1777
409,2022-01-15,0,0.0,1271
410,2022-01-16,0,0.0,1270
411,2022-01-17,0,0.0,1270
412,2022-01-18,0,0.0,1270
413,2022-01-19,4803,3.11416,1633
414,2022-01-20,4409,2.8802399999999997,1614
415,2022-01-21,5365,3.44095,1673
416,2022-01-22,4642,3.0097799999999997,1660
417,2022-01-23,0,0.0,1271
418,2022-01-24,6209,4.02585,1927
419,2022-01-25,6936,4.49721,1885
420,2022-01-26,4902,3.17835,1645
421,2022-01-27,4565,2.9924399999999998,1615
422,2022-01-28,5118,3.32292,1608
423,2022-01-29,0,0.0,1270
424,2022-01-30,3666,2.3769199999999997,1559
425,2022-01-31,3322,2.1781699999999997,1549
426,2022-02-01,4846,3.10642,1607
427,2022-02-02,11310,7.92664,2074
428,2022-02-03,4448,2.884,1604
429,2022-02-04,5077,3.2841,1627
430,2022-02-05,0,0.0,1268
431,2022-02-06,0,0.0,1268
432,2022-02-07,6300,4.08871,1743
433,2022-02-08,4751,3.04807,1641
434,2022-02-09,3902,2.53011,1542
435,2022-02-10,4684,3.03706,1600
436,2022-02-11,6202,4.02144,1679
437,2022-02-12,0,0.0,1267
438,2022-02-13,1766,1.1025,1388
439,2022-02-14,6085,3.88714,1665
440,2022-02-15,0,0.0,1267
441,2022-02-16,7285,5.3078199999999995,1816
442,2022-02-17,3307,2.14425,1585
443,2022-02-18,3903,2.52413,1540
444,2022-02-19,0,0.0,1271
445,2022-02-20,4310,2.88196,1529
446,2022-02-21,4813,3.7120499999999996,1497
447,2022-02-22,5005,3.26369,1682
448,2022-02-23,3694,2.39517,1531
449,2022-02-24,2450,1.58855,1454
450,2022-02-25,2666,1.7286299999999999,1456
451,2022-02-26,0,0.0,1271
452,2022-02-27,0,0.0,1271
453,2022-02-28,7977,5.67707,1854
454,2022-03-01,7977,5.11662,1877
455,2022-03-02,2747,1.7811599999999999,1477
456,2022-03-03,9568,6.17645,1980
457,2022-03-04,4061,2.6332199999999997,1562
458,2022-03-05,0,0.0,1273
459,2022-03-06,5187,3.69304,1716
460,2022-03-07,3640,2.3601799999999997,1536
461,2022-03-08,0,0.0,1272
462,2022-03-09,3902,2.53009,1535
463,2022-03-10,2931,1.90042,1468
464,2022-03-11,2293,1.48677,1429
465,2022-03-12,7,0.00453,1274
466,2022-03-13,5947,3.85621,1537
467,2022-03-14,2100,1.3311,1466
468,2022-03-15,9845,6.67882,2165
469,2022-03-16,3179,2.06121,1540
470,2022-03-17,1311,0.8500099999999999,1424
471,2022-03-18,0,0.0,1275
472,2022-03-19,0,0.0,1275
473,2022-03-20,0,0.0,1276
474,2022-03-21,4731,2.89525,1816
475,2022-03-22,4131,2.67848,1696
476,2022-03-23,0,0.0,1276
477,2022-03-24,2708,1.7558399999999998,1493
478,2022-03-25,3490,2.18892,1522
479,2022-03-26,0,0.0,1276
480,2022-03-27,3408,1.8285699999999998,1655
481,2022-03-28,2799,1.8148,1528
482,2022-03-29,4411,2.7948899999999997,1722
483,2022-03-30,0,0.0,1283
484,2022-03-31,5001,3.5061899999999997,1588
485,2022-04-01,3284,2.07301,1600
486,2022-04-02,0,0.0,1284
487,2022-04-03,171,0.11087,1408
488,2022-04-04,0,0.0,1284
489,2022-04-05,0,0.0,1284
490,2022-04-06,0,0.0,1284
491,2022-04-07,7,0.00453,1285
492,2022-04-08,149,0.09659999999999999,1313
493,2022-04-09,8,0.00518,1286
494,2022-04-10,0,0.0,1284
495,2022-04-11,289,0.18738,1397
496,2022-04-12,0,0.0,1284
497,2022-04-13,0,0.0,1284
498,2022-04-14,146,0.09466999999999999,1300
499,2022-04-15,0,0.0,1284
500,2022-04-16,0,0.0,1284
501,2022-04-17,193,0.12514,1453
502,2022-04-18,0,0.0,1284
503,2022-04-19,0,0.0,1284
504,2022-04-20,0,0.0,1284
505,2022-04-21,0,0.0,1284
506,2022-04-22,0,0.0,1284
507,2022-04-23,0,0.0,1284
508,2022-04-24,0,0.0,1284
509,2022-04-25,4199,3.05076,1528
510,2022-04-26,0,0.0,1281
511,2022-04-27,2406,1.2271999999999998,1587
512,2022-04-28,877,0.62107,1328
513,2022-04-29,564,0.36569999999999997,1309
514,2022-04-30,0,0.0,1278
515,2022-05-01,3195,1.8448499999999999,1586
516,2022-05-02,7865,4.6662799999999995,2062
517,2022-05-03,10125,6.88798,1970
518,2022-05-04,13205,8.54425,2130
519,2022-05-05,10035,6.489249999999999,2076
520,2022-05-06,6173,4.05021,1802
521,2022-05-07,1850,1.19953,1417
522,2022-05-08,5047,2.99936,1708
523,2022-05-09,10061,6.2443,2098
524,2022-05-10,10944,6.89576,2115
525,2022-05-11,8802,5.73574,1812
526,2022-05-12,5166,3.37338,1665
527,2022-05-13,5723,3.73458,1767
528,2022-05-14,9976,6.51103,1865
529,2022-05-15,4669,2.6907699999999997,1693
530,2022-05-16,6371,4.17212,1680
531,2022-05-17,5999,3.9185299999999996,1816
532,2022-05-18,12566,9.5288,1972
533,2022-05-19,8596,6.6907,1826
534,2022-05-20,10261,7.7603,2057
535,2022-05-21,3757,2.4282,1566
536,2022-05-22,6586,4.72899,1662
537,2022-05-23,9383,6.276599999999999,2145
538,2022-05-24,10072,6.217169999999999,2151
539,2022-05-25,14804,10.761099999999999,2092
540,2022-05-26,4341,2.83349,1634
541,2022-05-27,7834,4.0965,1996
542,2022-05-28,6259,4.07032,1789
543,2022-05-29,8116,5.55336,1877
544,2022-05-30,7686,4.9374199999999995,1904
545,2022-05-31,4929,3.22689,1695
546,2022-06-01,0,0.0,1282
547,2022-06-02,0,0.0,1282
548,2022-06-03,0,0.0,1282
549,2022-06-04,0,0.0,1282
550,2022-06-05,4113,2.54703,1626
551,2022-06-06,0,0.0,1289
552,2022-06-07,0,0.0,1292
553,2022-06-08,0,0.0,1293
554,2022-06-09,0,0.0,1293
555,2022-06-10,0,0.0,1293
556,2022-06-11,0,0.0,1294
557,2022-06-12,5074,3.63592,1705
558,2022-06-13,0,0.0,1296
559,2022-06-14,2953,1.86218,1636
