Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2013.12.25,Bull Shark,leg bitten,N,Y,Male,37,Snorkeling,New Caledonia,North Province,2013,25-Dec-13,11h00,Unprovoked,"Les Novelles Caledonie, 12/26/2014"
2014.00.00,White Shark,"no injury to occupants, shark nudged and bit boat",N,Y,NA,NA,Filming A Documentary,New Zealand,Na,2014,2014,NA,Boat,Discovery Channel
2014.02.20,Blacktip Shark,lacerations to lower leg,N,Y,Male,21,Kitesurfing,French Polynesia,Society Islands,2014,20-Feb-14,16h00,Unprovoked,"A. Brenneka, Shark Attack Survivors"
2014.03.02,Blacktip Shark,lacerations to toes,N,Y,Male,21,Surfing,USA,Florida,2014,02-Mar-14,NA,Unprovoked,"L.Gordon, CBS 12, 3/3/2014"
2014.04.03,White Shark,fatal,Y,Y,Female,63,Swimming,Australia,New South Wales,2014,03-Apr-14,08h20,Unprovoked,"B. Myatt, GSAF"
2014.04.12,Raggedtooth Shark,lacerations to leg and hand by hooked shark provoked incident,N,N,Male,NA,Fishing,South Africa,Eastern Cape Province,2014,12-Apr-14,Morning,Provoked,"The Citizen, 4/12/2014"
2014.04.12.R,White Shark,"no injury to occupants, shark bit pontoon",N,Y,NA,NA,Shark Watching,South Africa,Na,2014,Reported 12-Apr-2014,NA,Boat,"You Tube, posted 4/12/2014"
2014.05.14,White Shark,"no injury, but surfboard severely damaged",N,Y,Male,35,Surfing,Australia,South Australia,2014,14-May-14,09h30,Unprovoked,"N. Davies, The Advertiser, 5/114/2014"
2014.05.22,Nurse Shark,cut to tip of finger by a captive shark provoked incident,N,N,Male,10,Teasing A Shark,Australia,New South Wales,2014,22-May-14,NA,Provoked,"Newcastle Herald, 5/22/2014"
2014.05.27.R,Bull Shark,lacerations to legs,N,Y,Female,29,Fell Into The Water,Australia,Queensland,2014,24-May-14,NA,Unprovoked,"Gold Coast Bulletin, 4/27/2014"
2014.06.01.a,Blacktip Shark,laceration to left hand,N,Y,Female,37,Tagging Sharks,USA,Palmyra Atoll,2014,01-Jun-14,NA,Unprovoked,U.S. Coast Guard
2014.06.01.c,Bull Shark,laceration to right lower leg,N,Y,Female,22,Swimming,USA,Florida,2014,01-Jun-14,13h30,Unprovoked,"Local10.com, 6/1/2014"
2014.06.09.a,Bronze Whaler Shark,minor injury to torso,N,Y,Male,39,Body Boarding,Australia,South Australia,2014,09-Jun-14,09h45,Unprovoked,"The Australian, 6/9/2014"
2014.06.17.R,Lemon Shark,lacerations to right hand by captive shark provoked incident,N,N,Male,NA,Petting A Shark,Australia,Western Australia,2014,Reported 17-Jun-2014,NA,Provoked,"Meribula News, 6/17/2014"
2014.06.25,Caribbean Reef Shark,no injury but shark took his pole spear,N,Y,Male,42,Spearfishing,Bahamas,Abaco Islands,2014,25-Jun-14,13h00,Unprovoked,"A. Brenneka, Shark Attack Survivors, M. Adams"
2014.06.27.R,White Shark,his boat was holed by a shark,N,Y,Male,48,Transatlantic Rowing,St. Martin,Na,2014,Reported 27-Jun-2014,NA,Boat,"Star Advertiser, 6/272014; Goree Challenge.com"
2014.07.05.b,White Shark,provoked incident torso bitten by shark hooked by an angler,N,N,Male,NA,Swimming,USA,California,2014,05-Jul-14,09h30,Provoked,"R. Collier, GSAF /                   M Michaelson, SRI "
2014.07.27,Tiger Shark,left foot bitten,N,Y,Male,NA,Swimming,USA,North Carolina,2014,27-Jul-14,NA,Unprovoked,"C. Creswell, GSAF"
2014.08.01,White Shark,lower limbs and thigh bitten,N,Y,Male,20,Surfing,South Africa,Western Cape Province,2014,01-Aug-14,14h00,Unprovoked,"NSRI, 8/1/2014"
2014.08.08,Bull Shark,minor lacerations to left heel and big toe,N,Y,Male,7,Swimming,USA,Louisiana,2014,08-Aug-14,Afternoon,Unprovoked,"The Times-Picayune, 8/9/2014"
2014.08.09.R,Bull Shark,puncture wounds to right foot and ankle,N,Y,Male,NA,Spearfishing,Bahamas,Na,2014,09-Aug-14,NA,Unprovoked,A. Hindley / M. Michaelson
2014.08.12,Bull Shark,puncture wounds and lacerations to left thigh and knee,N,Y,Male,NA,Standing,USA,Florida,2014,12-Aug-14,11h10,Unprovoked,"K. Hayes / Brewton Standard, 8/19/2014"
2014.08.25,Bull Shark,lacerations to forearm from hooked shark provoked incident,N,N,Male,NA,Fishing For Sharks,USA,Florida,2014,Reported 25-Aug-2014,NA,Provoked,"Nooga.com, 8/25/2014"
2014.08.29.b,Blacktip Shark,lacerations to shin,N,Y,Male,17,Surfing,USA,Florida,2014,29-Aug-14,NA,Unprovoked,"Click Orlando, 9/12/2014"
2014.09.03,White Shark,"no injury, shark bit kayak",N,Y,Female,NA,Kayaking ,USA,Massachusetts,2014,03-Sep-14,18h00,Unprovoked,"Boston Globe, 9/4/2014"
2014.09.06,Bull Shark,leg bitten,N,Y,Male,43,Fishing ,USA,Alabama,2014,06-Sep-14,13h00,Unprovoked,"Fox10TV.com, 9/7/2014"
2014.09.13.R,Blacktip Shark,thumb and finger nipped,N,Y,Female,36,Feeding Fish,French Polynesia,Moorea,2014,Reported 12-Sep-2014,NA,Unprovoked,"LeDepeche, 9/12/2014"
2014.10.02.a,White Shark,"left arm and right hand severed, lacerations to both legs",N,Y,Male,23,Surfing,Australia,Western Australia,2014,02-Oct-14,11h00,Unprovoked,"9News, 2/15/2015"
2014.10.03.a,White Shark,"no injury to occupant, shark/s holded  kayak",N,Y,Male,NA,Kayaking ,USA,California,2014,03-Oct-14,11h30,Boat,"R. Collier, GSAF"
2014.10.03.b,White Shark,"no injury to occupant, shark/s holded  kayak",N,Y,Male,NA,Kayaking,USA,California,2014,03-Oct-14,14h00,Boat,"R. Collier, GSAF"
2014.10.05.a,Blacktip Shark,foot bitten,N,Y,Male,15,Surfing,USA,Florida,2014,05-Oct-14,11h00,Unprovoked,"WESH2, 10/6/2014"
2014.10.05.b,Blacktip Shark,foot bitten,N,Y,Male,29,Surfing,USA,Florida,2014,05-Oct-14,11h30,Unprovoked,"WESH2, 10/6/2014"
