Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2000.00.00,Hammerhead Shark,no injury to occupant; shark bit propeller,N,Y,Male,NA,Fishing For Tarpon,USA,Florida,2000,2000,NA,Boat,"B. Stout, News-Press, 7/2/2005"
2000.02.14,Blacktip Shark,fingers bitten provoked incident,N,N,Male,NA,Feeding Prawns To Captive Sharks,England,Worcestershire,2000,14-Feb-00,NA,Provoked,"The Sun (London), 2/17/2000"
2000.02.19,White Shark,foot bitten,N,Y,Male,NA,Body Surfing,South Africa,Western Cape Province,2000,19-Feb-00,14h00,Unprovoked,"C. Creswell, GSAF"
2000.03.14,Tiger Shark,no injury,N,Y,Male,NA,Surfing,Australia,New South Wales,2000,14-Mar-00,19h30,Unprovoked,"Sydney Morning Herald, 3/16/2000 "
2000.03.15,Tiger Shark,fatal,Y,Y,Male,35,Spearfishing,New Caledonia,North Province,2000,15-Mar-00,Morning,Unprovoked,"Les Nouvelles Caledoniennes, 3/16/2000"
2000.05.13,Tiger Shark,sharks prevented recovery of remains,Y,Y,NA,NA,"Air Disaster - Piper Aircraft Crashed Into The Sea, Killing All On Board",New Caledonia,South Province,2000,13-May-00,NA,Sea Disaster,"W. Leander; Les Nouvelles Caledoniennes, 5/15/2000"
2000.06.00,Zambesi Shark,"fatal, legs severed  ",Y,Y,Male,NA,Swimming,Tanzania,Na,2000,Early Jun-2000,NA,Unprovoked,T. Thierry
2000.06.09.a,Bull Shark,right forearm severed surgically amputated above elbow,N,Y,Male,44,Swimming ,USA,Alabama,2000,09-Jun-00,06h45,Unprovoked,"Orlando Sentinel, 6/10/2000, p.A20 & 6/11/2000, p.A22; T. Allen, pp.74-75Jun 10, 2000. pg. A.20"
2000.06.09.b,Bull Shark,puncture wounds on right hip and arm,N,Y,Male,55,Swimming,USA,Alabama,2000,09-Jun-00,06h45,Unprovoked,"Orlando Sentinel, 6/10/2000, p.A20 & 6/11/2000, p.A22; T. Allen, pp.74-75Jun 10, 2000. pg. A.20"
2000.06.10,Blacktip Shark,foot lacerated,N,Y,Male,17,Surfing,USA,Texas,2000,10-Jun-00,16h00,Unprovoked,GSAF
2000.06.13,Bull Shark,"no injury to occupants, boat's rear platform bitten",N,Y,NA,NA,Sailing,USA,Florida,2000,13-Jun-00,14h30,Boat,"Mobile Register 6/14/2000; Charlotte Observer, 6/15/2000, p.8A"
2000.07.00,Zambesi Shark,fatal,Y,Y,NA,NA,Swimming,Tanzania,Na,2000,Jul-00,NA,Unprovoked,T. Thierry
2000.07.02.a,Blacktip Shark,left thigh lacerated,N,Y,Female,19,Standing,USA,Florida,2000,02-Jul-00,14h45,Unprovoked,"S. Petersohn; M.Guisti, Daytona Beach News Journal, 7/3/2000, p.6C; Orlando Sentinel, 7/3/2000,p.C3"
2000.07.04.a,Nurse Shark,lower right calf lacerated,N,Y,Female,55,"Spearfishing, Holding Mesh Bag With Speared Fish",USA,Florida,2000,04-Jul-00,12h00,Unprovoked,"V. Mannix, Bradenton Herald, 8/3/2000, p.1 "
2000.07.06,Tiger Shark,calf lacerated,N,Y,Female,12,Playing,USA,North Carolina,2000,06-Jul-00,16h30,Unprovoked,"Charlotte Observer, 7/20/2000, p.1A"
2000.07.07,Lemon Shark,ankle and foot lacerated,N,Y,Male,5,Jumping,USA,Texas,2000,07-Jul-00,NA,Unprovoked,"K. Hastings, Dallas Morning News"
2000.07.12,Grey Shark,left arm bitten,N,Y,Male,69,Scuba Diving, Tonga,Minerva Reef,2000,12-Jul-00,NA,Unprovoked,www.spearfishingsa.co.za
2000.07.16.b,Grey Shark,minor lacerations on foot,N,Y,Male,14,Surfing,USA,North Carolina,2000,16-Jul-00,NA,Unprovoked,"C. Creswell, GSAF; Charlotte Observer, 7/20/2000, p.1A"
2000.07.22,Nurse Shark,leg pinched,N,Y,Female,45,Snorkeling,USA,Florida,2000,22-Jul-00,NA,Unprovoked,"E. Ritter, GSAF"
2000.08.00,Zambesi Shark,fatal,Y,Y,NA,NA,Swimming,Tanzania,Na,2000,Aug-00,NA,Unprovoked,T. Thierry
2000.08.12,Blacktip Shark,severely bitten on lower leg ,N,Y,Female,44,Standing,USA,Florida,2000,12-Aug-00,16h45,Unprovoked,M. White
2000.08.15,Tiger Shark,left calf lacerated,N,Y,Male,53,"Windsurfing, But Sitting On His Board",USA,Hawaii,2000,15-Aug-00,11h50,Unprovoked,Maui.net
2000.08.30,Bull Shark,fatal,Y,Y,Male,69,Jumped Into The Water,USA,Florida,2000,30-Aug-00,16h00,Unprovoked,"E. Ritter, GSAF; Charlotte Observer, 9/1/2000, p.4A; Orlando Sentinel, 8/31/2000, p.A19"
2000.09.00.b,Zambesi Shark,fatal,Y,Y,NA,NA,Swimming,Tanzania,Na,2000,Early Sep-2000,NA,Unprovoked,T. Thierry
2000.09.08.a,Tiger Shark,left arm bitten,N,Y,Male,27,Surfing,Reunion,Saint-Pierre,2000,08-Sep-00,18h05,Unprovoked,"Clicanoo, le journal  de l'Ile de la Réunion; Northern Territory News, 9/12/2000, p.6"
2000.09.08.c,Zambesi Shark,fatal,Y,Y,Male,28,Swimming,Tanzania,Na,2000,08-Sep-00,NA,Unprovoked,E. Matechi; A. Mbogora 
2000.09.10.a,White Shark,swim fin bitten,N,Y,Male,48,Free Diving,South Africa,Western Cape Province,2000,10-Sep-00,11h00,Unprovoked,"E. Ritter, GSAF"
2000.09.16.b,White Shark, fatal,Y,Y,Male,31,Surfing,Okinawa,Miyako Island,2000,16-Sep-00,17h00,Unprovoked,M. Shimbun; japanupdate.com
2000.09.18,Blue Shark,foot lacerated from toe to heel when he tripped on shark during fishing competition provoked incident,N,N,Male,12,Fell Onto Dead Shark,Australia,New South Wales,2000,19-Sep-00,NA,Provoked,Illwara Mercury. 9/19/2000
2000.09.24,White Shark,fatal,Y,Y,Male,25,Surfing,Australia,South Australia,2000,24-Sep-00,07h30,Unprovoked,"T. Peake, GSAF"
2000.09.25,White Shark,fatal,Y,Y,Male,17,Surfing,Australia,South Australia,2000,25-Sep-00,13h00,Unprovoked,"T. Peake, GSAF"
2000.09.29,White Shark,no injury,N,Y,Male,NA,Sitting On Surfboard,USA,California,2000,29-Sep-00,09h00,Unprovoked,"P. Euwer, Ocean.com; D.W. Cole & M. DesJardins, Santa Cruz Sentinel"
2000.10.06.b,Blacktip Shark,fingers lacerated,N,Y,Male,23,Surfing,USA,Florida,2000,06-Oct-00,14h30,Unprovoked,"SharkSurvivor.com; M.I.Johnson, Daytona Beach News Journal, 10/7/2000, p.1A; Daytona News Journal, 10/8/2000, p.4B"
2000.10.18,Tiger Shark,right side of back / torso lacerated,N,Y,Female,56,Swimming / Snorkeling,USA,Hawaii,2000,18-Oct-00,11h20,Unprovoked,GSAF
2000.10.29,White Shark,"no injury to occupant, shark holed and sank boat",N,Y,NA,31,Fishing ,Australia,Queensland,2000,29-Oct-00,22h00,Boat,"T. Peake, GSAF"
2000.11.04,White Shark,both thighs bitten,N,Y,Male,27,Surfing,USA,California,2000,04-Nov-00,16h30,Unprovoked,"J. Ramsay, California Fish & Game; R. Collier"
2000.11.06.a,White Shark,"fatal, torso bitten, leg severed ",Y,Y,Male,49,Swimming,Australia,Western Australia,2000,06-Nov-00,06h30,Unprovoked,"B. May, AAP; G. Thiel"
2000.11.06.b,White Shark,leg and feet lacerated,N,Y,Male,52,Swimming,Australia,Western Australia,2000,06-Nov-00,06h30,Unprovoked,"B. May, AAP; G. Thiel"
2000.11.21,Tiger Shark,"no injury, wetsuit and swimfin torn",N,Y,Male,28,Diving (Shell Maintenance),Australia,Queensland,2000,21-Nov-00,NA,Unprovoked,"Courier-Mail, 11/24/2000, p.3"
2000.12.03,Bronze Whaler Shark,left elbow and forearm bitten,N,Y,Male,38,Spearfishing,Australia,Queensland,2000,03-Dec-00,09h30,Unprovoked,"N. Leys; Daily Telegraph, 12/4/2000.p.3"
2000.12.11,White Shark,no injury to occupants,N,Y,NA,NA,Fishing For Whiting,Australia,South Australia,2000,11-Dec-00,NA,Boat,"The Dominion, 12/13/2000; Northern Territory News, 12/13/2000, p.9"
2001.01.06,White Shark,"no injury, kayak bitten",N,Y,Male,NA,Kayaking,New Zealand,North Island,2001,06-Jan-01,NA,Boat,C. Duffy
2001.01.21 ,White Shark,no injury to occupants,N,Y,NA,NA,Fishing,Australia,South Australia,2001,21-Jan-01,NA,Boat,"Northern Territory News, 1/22/2001, p.8"
2001.02.04,Bronze Whaler Shark,leg bitten,N,Y,Male,40,Surfing,Australia,New South Wales,2001,04-Feb-01,16h15,Unprovoked,"Daily Dispatch, 2/6/2001"
2001.02.26,White Shark,no injury to occupants,N,Y,NA,NA,Fishing For Whiting,Australia,Western Australia,2001,26-Feb-01,NA,Boat,Illwara Mercury
2001.03.00,Tiger Shark,"human remains recovered in shark caught off anguilla, probable scavenging on drowned body",Y,Y,NA,NA,Sinking Of The 40' Esperanza Off St. Maartin With 36 Refugees On Board,Caribbean Sea,Na,2001,Mar-01,NA,Sea Disaster,"C. Johansson, GSAF"
2001.04.02.a,Bronze Whaler Shark,calf bitten,N,Y,Male,40,Surfing,Australia,New South Wales,2001,02-Apr-01,10h00,Unprovoked,"T. Peake, GSAF"
2001.04.08.b,White Shark,"thigh, hip and buttock bitten",N,Y,Male,46,Surfing,South Africa,Eastern Cape Province,2001,08-Apr-01,09h30,Unprovoked,"M. Smale, P.E. Museum      "
2001.04.10,Blacktip Shark,foot lacerated,N,Y,NA,16,Surfing,USA,Florida,2001,10-Apr-01,NA,Unprovoked,"Orlando Sentinel, 4/14/2001, p.A1"
2001.04.11.a,White Shark,minor punctures and lacerations on left hand ,N,Y,Male,NA,Surfing,USA,Hawaii,2001,11-Apr-01,07h00,Unprovoked,Honolulu Star Bulletin
2001.04.11.d,Blacktip Shark,minor cuts on right heel and foot,N,Y,Male,19,Surfing,USA,Florida,2001,11-Apr-01,8:04 PM,Unprovoked,"S. Petersohn, GSAF; scubaradio.com; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.12.a,Blacktip Shark,foot lacerated,N,Y,Male,22,Surfing,USA,Florida,2001,12-Apr-01,11h53,Unprovoked,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.12.b,Blacktip Shark,foot and ankle lacerated,N,Y,Male,12,Body Boarding,USA,Florida,2001,12-Apr-01,12h34,Unprovoked,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.12.c,Blacktip Shark,small cuts on big and pinky toes of left foot,N,Y,Male,21,Surfing,USA,Florida,2001,12-Apr-01,16h05,Unprovoked,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.13.a,Blacktip Shark,right foot and ankle lacerated,N,Y,Male,12,Surfing,USA,Florida,2001,13-Apr-01,10h55,Unprovoked,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.05.08,White Shark,leg bitten,N,Y,Male,26,Surfing,South Africa,Eastern Cape Province,2001,08-May-01,NA,Unprovoked,"East London Daily Dispatch, 5/9/2001"
2001.06.10,White Shark,"no injury. shark made threat display, then diver shot the shark provoked incident",N,N,Male,52,Spearfishing,USA,California,2001,10-Jun-01,09h00,Provoked,"R. Collier, GSAF"
2001.07.06.a,Bull Shark,"arm severed, surgically reattached",N,Y,Male,8,Swimming,USA,Florida,2001,06-Jul-01,Dusk,Unprovoked,"E. Ritter, GSAF"
2001.07.24,Nurse Shark,2 bites behind knee,N,Y,Female,NA,Na,USA,Florida,2001,24-Jul-01,NA,Unprovoked,"Key West Citizen, 7/26/2001"
2001.08.16,Bull Shark,calf bitten,N,Y,Male,43,Spearfishing,Bahamas,Grand Bahama Island,2001,16-Aug-01,16h00,Unprovoked,"E. Ritter, GSAF; 8/17/2001, p.A9"
2001.08.18.a,Blacktip Shark,left ankle bitten,N,Y,Male,19,Surfing,USA,Florida,2001,18-Aug-01,10h00,Unprovoked,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A"
2001.08.18.b,Blacktip Shark,back of left hand gashed,N,Y,Male,19,Surfing,USA,Florida,2001,18-Aug-01,12h05,Unprovoked,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A"
2001.08.18.c,Blacktip Shark,cuts on right foot,N,Y,Male,20,Surfing,USA,Florida,2001,18-Aug-01,12h30,Unprovoked,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A"
2001.08.31,Bull Shark,torso lacerated,N,Y,Male,44,Spearfishing,Bahamas,Abaco Islands,2001,31-Aug-01,13h30,Unprovoked,G. Atkinson
2001.09.01,Bull Shark,"fatal, thigh bitten ",Y,Y,Male,10,Swimming ,USA,Virginia,2001,01-Sep-01,18h00,Unprovoked,"M. Levine, GSAF            "
2001.09.03.a,White Shark,left buttock and foot  severed,N,Y,Female,23,Swimming,USA,North Carolina,2001,03-Sep-01,18h00,Unprovoked,"M. Levine, GSAF            "
2001.09.03.b,White Shark,fatal,Y,Y,Male,28,Swimming ,USA,North Carolina,2001,03-Sep-01,18h00,Unprovoked,"M. Levine, GSAF            "
2001.09.13,Tiger Shark,head bitten by captive shark provoked incident,N,N,Male,NA,Diving,United Kingdom,Cheshire,2001,13-Sep-01,NA,Provoked,"Daily Post, 9/14/2001"
2001.09.30.a,White Shark,no injury from shark,N,Y,Male,31,Na,Australia,Queensland,2001,30-Sep-01,P.M.,Boat,"T. Peake, GSAF   "
2001.09.30.b,Tiger Shark,hand injured,N,Y,Male,26,Body Surfing,Mexico,Guerrero,2001,30-Sep-01,Late morning,Unprovoked,T. Carlson
2001.10.02,Bronze Whaler Shark,lacerations to right forearm and shoulder injured,N,Y,Female,20,Snorkeling,Australia,Queensland,2001,02-Oct-01,13h00,Unprovoked,K. Jones
2001.11.23,Bronze Whaler Shark,"no injury, shark hit board",N,Y,Male,49,Surfing,Australia,New South Wales,2001,23-Nov-01,NA,Unprovoked,"T. Peake, GSAF"
2002.01.01.a,Tiger Shark,lacerations to buttocks and thigh,N,Y,Male,35,Snorkeling,USA,Hawaii,2002,01-Jan-02,13h00,Unprovoked,"G. Kubota, Star Bulletin"
2002.01.04,Zambesi Shark,leg bitten and surgically amputated,N,Y,Male,16,Fishing,South Africa,Kwazulu-Natal,2002,04-Jan-02,02h00,Unprovoked,"G. Gifford, GSAF"
2002.01.30.b,Tiger Shark,bruises and minor cuts,N,Y,Male,20,Surfing,Australia,New South Wales,2002,30-Jan-02,20h45 (Sunset),Unprovoked,"T. Peake, GSAF"
2002.03.15.b,Nurse Shark,arm bitten,N,Y,Male,39,Snorkeling,USA,Florida,2002,15-Mar-02,Morning,Unprovoked,ezboard.com
2002.03.25.b,Tiger Shark,left leg severed below knee,N,Y,Male,17,Body-Boarding,USA,Hawaii,2002,25-Mar-02,12h00,Unprovoked,"G. Kubota, Honolulu Star Bulletin"
2002.04.09,Bull Shark,calf bitten,N,Y,Male,43,Standing,Bahamas,Abaco Islands,2002,09-Apr-02,10h45,Unprovoked,"E. Ritter, GSAF"
2002.04.30,White Shark,"fatal, torso and leg bitten  ",Y,Y,Male,23,Scallop Diving (Using Surface-Supplied Air And A Pod) ,Australia,South Australia,2002,30-Apr-02,12h40,Unprovoked,"T. Peake, GSAF"
2002.05.21.R,Bull Shark,toothmarks in board and his swim trunks,N,Y,Male,NA,Surfing,Costa Rica,Guanacaste,2002,Reported 21-May-2002,NA,Unprovoked,Surfline.com
2002.05.22.b,Blacktip Shark,leg bitten by hooked shark provoked incident,N,N,Male,55,"Fishing, Removing The Shark From His Line",USA,Florida,2002,22-May-02,17h15,Provoked,"News-Press, 5/23/2002"
2002.05.31.b,White Shark,lacerated leg and back,N,Y,Male,24,Surfing,USA,California,2002,31-May-02,14h15,Unprovoked,San Francisco Gate
2002.06.11.b,Tiger Shark,"no injury, shark bit side of surfboard",N,Y,NA,NA,Sitting On Surfboard,USA,Hawaii,2002,11-Jun-02,13h345,Unprovoked,Hawaii Department of Land and Natural Resources
2002.07.04,Bull Shark,"calf, foot and hand bitten",N,Y,Female,9,Standing,USA,North Carolina,2002,04-Jul-02,17h15,Unprovoked,"Miami Herald, 7/7/2002 "
2002.07.09.a,Tiger Shark,right hand severed,N,Y,Male,22,Surfing,Brazil,Pernambuco,2002,10-Jul-02,15h00,Unprovoked,"P.M. Lopes, GSAF"
2002.07.20,Bull Shark,calf bitten,N,Y,Female,15,Swimming,USA,North Carolina,2002,20-Jul-02,17h00,Unprovoked,"C. Creswell, GSAF"
2002.07.26,Blacktip Shark,heel bitten,N,Y,Male,13,Surfing,USA,South Carolina,2002,26-Jul-02,19h00,Unprovoked,"C. Creswell, GSAF; The  State  (Columbia, SC) 7/28/2002 ; Sun News (Myrtle Beach), 7/28/2002"
2002.08.06.R,Tiger Shark,hand bitten by captive shark provoked incident,N,N,Male,30,Diving,United Kingdom,Cheshire,2002,Reported 06-Aug-2002,NA,Provoked,"Evening Standard (London, England)"
2002.08.11,Nurse Shark,lacerations on heel and dorsum of right foot,N,Y,Male,15,Surfing,USA,Florida,2002,11-Aug-02,15h30,Unprovoked,"Stuart News, 8/12/2002"
2002.08.28,Tiger Shark,left foot lacerated ,N,Y,Male,16,Surfing,USA,Hawaii,2002,28-Aug-02,15h45,Unprovoked,"G. Kubota, Honolulu Star Bulletin"
2002.09.05,Hammerhead Shark,2 small puncture wounds on left foot provoked incident,N,N,Male,36,"Wading, When He Stepped On The Shark",USA,Florida,2002,05-Sep-02,17h45,Provoked,"S. Petersohn, GSAF"
2002.09.13,White Shark,no injury,N,Y,Male,47,Surf Skiing,South Africa,Western Cape Province,2002,13-Sep-02,16h00,Unprovoked,Multiple internet sources
2002.09.16.b,Tiger Shark,"left thigh bitten, leg surgically amputated",N,Y,Male,19,Swimming,Brazil,Pernambuco,2002,16-Sep-02,15h00,Unprovoked,"P.M. Lopes, GSAF"
2002.09.27.a,Tiger Shark,thigh lacerated  provoked incident,N,N,Male, ,Swimming,Tonga,Vava'U,2002,27-Sep-02,15h00,Provoked,C. Butterfield
2002.09.27.b,Blacktip Shark,left thumb lacerated provoked incident,N,N,Male,  ,Fishing,USA,Florida,2002,27-Sep-02,Afternoon,Provoked,"J. Eager, scubaradio.com"
2002.09.27.c,Blacktip Shark,"no injury, surfboard bitten ",N,Y,Male,55,Fishing From Surfboard,USA,Hawaii,2002,27-Sep-02,15h35,Unprovoked,"C. Lum & J. Widner, Honolulu Advertiser"
2002.10.05.b,Blacktip Shark,abrasions on right hand and deep laceration on middle finger,N,Y,Male,14,Surfing,USA,Florida,2002,05-Oct-02,12h00,Unprovoked,"D. Harrity; S. Petersohn, GSAF; L. Lelis, Orlando Sentinel"
2002.10.14,Tiger Shark,"fatal, body not recovered",Y,Y,Male,36,Swimming,Brazil,Pernambuco,2002,14-Oct-02,16h00,Unprovoked,"P.M. Lopes, GSAF"
2002.11.14,Caribbean Reef Shark,"right upper am, shoulder and back severely  bitten",N,Y,Female,41,Snorkeling,Turks And Caicos,Caicos Bank,2002,14-Nov-02,08h40,Unprovoked,"M. Glenn, Local 10 News; Miami Herald, 11/28/2002"
2002.11.17,Grey Shark,right shoulder forarm and wrist bitten,N,Y,Female,34,Swimming,USA,Hawaii,2002,17-Nov-02,10h45,Unprovoked,San Francisco Gate
2002.11.28.a,White Shark,both legs severely lacerated,N,Y,Male,48,Body Boarding,USA,California,2002,28-Nov-02,09h45,Unprovoked,"R. Collier, GSAF; Press Report: Santa Rosa Press Democrat "
2002.11.28.b,Blacktip Shark,minor injury to right calf,N,Y,Male,NA,Scuba Diving,Micronesia,Caroline Islands,2002,28-Nov-02,Afternoon,Unprovoked,J. Connick
2002.12.16,Bull Shark,fatal,Y,Y,Male,23,Swimming,Australia,Queensland,2002,16-Dec-02,02h30,Unprovoked,"T. Peake, GSAF; Northern Territory News, 12/20/2002, p.9"
2002.12.24,White Shark,forearms lacerated,N,Y,Male,25,Snorkeling,South Africa,Western Cape Province,2002,24-Dec-02,Just after 12h00,Unprovoked,IOL.co.za
2002.12.29,Hammerhead Shark,left arm lacerated,N,Y,Female,18,Snorkeling,Australia,Queensland,2002,29-Dec-02,NA,Unprovoked,"T. Peake, GSAF; Mercury (Hobart), 12/30/2002, p.10"
2003.01.02,Bronze Whaler Shark,"no injury, but her surfboard was bitten",N,Y,Female,NA,Surfing,Australia,Western Australia,2003,02-Jan-03,13h00,Unprovoked,"T. Peake, GSAF"
2003.01.03,Bull Shark,lower right leg lacerated,N,Y,Male,NA,Surfing,Costa Rica,North Pacific Coast,2003,03-Jan-03,NA,Unprovoked,A.M. Costa Rica
2003.02.08,Bull Shark,fatal,Y,Y,Male,84,Swimming,Australia,Queensland,2003,08-Feb-03,Morning,Unprovoked,"T. Peake, GSAF; Sunday Territorian, 2/9/2003, p.9"
2003.02.11,Nurse Shark,"puncture wounds on heel, legs and buttocks",N,Y,Male,24,Swimming,Australia,New South Wales,2003,11-Feb-03,--,Unprovoked,"T. Peake, GSAF"
2003.02.27,White Shark,arm lacerated (shark made 3 strikes),N,Y,Male,44,Scuba Diving,New Zealand,Southland,2003,27-Feb-03,11h45,Unprovoked,"R.D. Weeks & Mark Marks, GSAF; New Zealand Herald"
2003.04.23.b,Bull Shark,"hand and foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,Y,Male,17,Surfing,Brazil,Pernambuco,2003,23-Apr-03,17h00,Unprovoked,"P. M. Lopes, GSAF; N. Souza da Silva; JC, 4/24/2003"
2003.05.00,White Shark,arm severed,N,Y,NA,NA,Na,Philippines,Baatan,2003,May-03,NA,Unprovoked,"D. Cervantes, Star"
2003.05.10,Grey Shark,right calf and heel bitten,N,Y,Male,20,Swimming,USA,Hawaii,2003,10-May-03,11h45,Unprovoked,WestHawaiiToday.com
2003.07.00.a,Grey Shark,chest and buttocks  bitten,N,Y,Male,NA,Snorkeling,New Zealand,Cook Islands,2003,Jul-03,NA,Unprovoked,R. & J. Zorro; Noonsite.com
2003.07.00.c,Hammerhead Shark,laceration to toe,N,Y,Male,NA,Spearfishing,USA,Florida,2003,Jul-03,NA,Unprovoked,M. Marks
2003.07.04,Bull Shark,left calf bitten,N,Y,Male,39,Spearfishing,Bahamas,Abaco Islands,2003,04-Jul-03,14h45,Unprovoked,"Associated Press, 7/12/03; Palm Beach Post, 7/7/2003 "
2003.08.08,White Shark,"no injury, wetsuit torn and board bitten",N,Y,Male,16,Sitting On Surfboard,South Africa,Eastern Cape Province,2003,08-Aug-03,08h00,Unprovoked,"E. Ritter, GSAF  http://sport.iafrica.com/news/261271.htm       "
2003.08.19,White Shark,"fatal          hip and upper thigh bitten, femoral artery severed ",Y,Y,Female,50,"Swimming, Wearing Black Wetsuit And Swim Fins",USA,California,2003,19-Aug-03,08h15,Unprovoked,"R. Collier, GSAF                "
2003.08.29,Bull Shark,provoked incident hooked shark pulled onboard bit his arm  ,N,N,Male,NA,Fishing,USA,Texas,2003,29-Aug-03,12h20,Provoked,http://www.dfw.com/mld/startelegram/news/state/6656592.htm?1c
2003.09.12,White Shark,"fatal, left thigh, buttocks, back of spine, abdomen and chest bitten  ",Y,Y,Male,19,Body Boarding,South Africa,Western Cape Province,2003,12-Sep-03,14h30,Unprovoked,"E. Ritter, GSAF;      http://www.wavescape.co.za/top_bar/locals_only9.htm                               "
2003.10.05.a,Grey Shark,"left thigh abraded, right knee and right index finger injured",N,Y,Female,41,Wading Near A Fishing Net,USA,Hawaii,2003,05-Oct-03,12h55,Unprovoked,"G. Kubota, Star Bulletin"
2003.10.31.a,Tiger Shark,left arm severed below shoulder,N,Y,Female,13,Surfing,USA,Hawaii,2003,31-Oct-03,07h30,Unprovoked," E. Ritter, GSAF  "
2003.10.31.b,Bronze Whaler Shark,left ankle and foot lacerated,N,Y,Male,22,Surfing,Australia,New South Wales,2003,31-Oct-03,17h30,Unprovoked,ABC News Australia
2003.11.00,Nurse Shark,left forearm bitten provoked incident,N,N,Male,NA,Spearfishing,Panama,Pearl Islands,2003,Nov-03,NA,Provoked,"J. Eager, scubaradio.com"
2003.11.06.a,White Shark,"no injury to occupants, hull of ski bitten",N,Y,NA,NA,Surf Skiing,South Africa,Kwazulu-Natal,2003,06-Nov-03,NA,Unprovoked,Natal Sharks Board
2003.11.06.b,White Shark,hand/elbow injured,N,Y,Male,NA,Snorkeling,Egypt,Sinai Peninsula,2003,06-Nov-03,NA,Unprovoked,N. Pankratov
2003.11.12.b,Tiger Shark,left index finger lacerated,N,Y,Male,35,Swimming Or Surfing,India,Tamilnadu,2003,12-Nov-03,NA,Unprovoked," P.C.V. Kumar; A. Patil, GSAF   "
2003.11.27,Tiger Shark,"presumed fatal, severed hand recovered",Y,Y,Male,21,Spearfishing,South Africa,Kwazulu-Natal,2003,27-Nov-03,>08h00,Unprovoked,"E. Ritter, GSAF"
2004.01.07,Raggedtooth Shark,foot lacerated,N,Y,Male,22,Surfing,South Africa,Eastern Cape Province,2004,07-Jan-04,NA,Unprovoked,"A. Cobb & E. Ritter, GSAF"
2004.01.12,Raggedtooth Shark,"no injury, swim fin ripped off",N,Y,Male,NA,Diving,Australia,New South Wales,2004,12-Jan-04,Midday,Unprovoked,"T. Peake, GSAF"
2004.01.21.a,Bull Shark,right leg bitten,N,Y,Male,40,Spearfishing,Venezuela,Anzoategui,2004,21-Jan-04,11h00,Unprovoked,"D. Ramierez, GSAF       "
2004.01.21.b,Bull Shark,lower back and hand bitten,N,Y,Male,NA,Swimming,Venezuela,Anzoategui,2004,21-Jan-04,14h30,Unprovoked,"D. Ramierez, GSAF       "
2004.01.23,Tiger Shark,puncture wounds to dorsum of right foot,N,Y,Male,21,Surfing,Uruguay,Rocha,2004,23-Jan-04,NA,Unprovoked,C.M. Prigioni el al
2004.01.25,White Shark,left leg bitten,N,Y,Male,46,Scuba Diving,Australia,Western Australia,2004,25-Jan-04,11h05,Unprovoked,"T. Peake, GSAF"
2004.03.06,Bronze Whaler Shark,shin and calf bitten,N,Y,Male,47,Spearfishing,Australia,Western Australia,2004,06-Mar-04,NA,Unprovoked,"T. Peake, GSAF; Sunday Times (Perth) 3/7/2004, p.19"
2004.03.16,Tiger Shark,"no injury, board bitten",N,Y,Male,51,Surfing,USA,Hawaii,2004,16-Mar-04,07h45,Unprovoked,The Hawaii Channel
2004.03.22,Bronze Whaler Shark,no injury,N,Y,Male,NA,Spearfishing,New Zealand,North Island,2004,22-Mar-04,12h30,Unprovoked,J. Edgar
2004.03.28,Bull Shark,heel bitten,N,Y,Male,NA,Surfing,USA,Florida,2004,28-Mar-04,15h00,Unprovoked,"J.D. Gallop, Florida Today"
2004.03.29,Bull Shark,"lower left leg bitten, surgically amputated",N,Y,Male,22,Body Boarding,Brazil,Pernambuco,2004,29-Mar-04,07h30,Unprovoked,"P.M. Lopes, GSAF; Diaro, 3/30/2004"
2004.03.31.a,Bull Shark,15 puncture wounds on foot,N,Y,Male,20,Surfing,USA,Florida,2004,31-Mar-04,09h00,Unprovoked,"T. Jerome, GSAF; Palm Beach Post,  4/1/2004"
2004.04.05,White Shark,"left leg lacerated, right leg severed above the knee ",N,Y,Male,16,Surfing,South Africa,Western Cape Province,2004,05-Apr-04,14h00,Unprovoked,"L. Compagno & E. Ritter, GSAF"
2004.04.07,Tiger Shark,fatal severe wound to right thigh and calf,Y,Y,Male,57,Surfing,USA,Hawaii,2004,07-Apr-04,07h08,Unprovoked,"L. Fujimoto, B. Perry & M. Tanji, Maui News "
