,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
216,2016.09.17.a,Unprovoked,AUSTRALIA,Victoria,Surfing,M,Struck by fin on chest & leg,N,,
217,2016.09.15,Unprovoked,AUSTRALIA,Victoria,Surfing,M,No injury: Knocked off board by shark,N,,2 m shark
218,2016.09.15.R,Boating,AUSTRALIA,Western Australia,Fishing,,Shark rammed boat. No injury to occupant,N,,
219,2016.09.11,Unprovoked,USA,Florida,Wading,M,Minor injury to arm,N,15h15,3' to 4' shark
220,2016.09.07,Unprovoked,USA,Hawaii,Swimming,F,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'"
221,2016.09.06,Unprovoked,NEW CALEDONIA,North Province,Kite surfing,M,FATAL,Y,15h40,
222,2016.09.05.b,Unprovoked,USA,South Carolina,Boogie boarding,F,Lacerations & punctures to lower right leg,N,Late afternoon,
223,2016.09.05.a,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No inury, board broken in half by shark",N,Late afternoon,
224,2016.09.04,Unprovoked,USA,Florida,Body boarding,M,Foot bitten,N,,
225,2016.09.01,Unprovoked,USA,California,Spearfishing,M,Two toes broken & lacerated,N,,"White shark, 8' to 10'"
226,2016.09.00,Invalid,MEXICO,,Cage Diving,,"No injury to divers, white shark breached cage",U,,Invalid
227,2016.08.29.b,Unprovoked,USA,Florida,Surfing,M,Lacerations to right foot,N,15h00,"Bull shark, 6'"
228,2016.08.29.a,Unprovoked,USA,Florida,Surfing,M,Minor injury to ankle,N,14h00,
229,2016.08.27,Unprovoked,REUNION,,Surfing,M,"Right arm severed, ankle severely bitten ",N,17h00,"Bull shark, 3.5 m"
230,2016.08.25,Unprovoked,USA,Florida,Wading,M,Minor injury to ankle,N,16h00,
231,2016.08.07,Unprovoked,BAHAMAS,New Providence Island,Snorkeling,M,Lacerations to left leg,N,,
