,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
5044,1930.05.11.R,Boating,TURKEY,,Fishing,M,No injury but shark damaged boat,N,,
5045,1930.05.11,Invalid,COSTA RICA,Limón Province,Air disaster,,Shark involvement prior to death was not confirmed,U,,Shark involvement prior to death unconfirmed
5046,1930.04.08,Invalid,SOUTH AFRICA,Eastern Cape Province,,M,"Remains of drowning victim recovered from 250-lb female ""blue fin"" shark",U,,Shark involvement prior to death unconfirmed
5047,1930.03.07.R,Unprovoked,USA,Florida,Sponge diving,M,No injury to diver but shark left 3 toothmarks in his helmet,N,,
5048,1930.02.20,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,M,Arm & chest injured,N,,
5049,1930.02.15,Unprovoked,AUSTRALIA,Victoria,Diving off pier & treading water,M,FATAL,Y,16h30,White shark 4.9 m [16'] 
5050,1930.02.03.R,Provoked,AUSTRALIA,Western Australia,Removing shark from a trap,M,Laceration to thigh from trapped shark PROVOKED INCIDENT,N,,
5051,1930.01.22,Boating,MEXICO,Veracruz,Fishing schooner Jose Luis foundered,,remains of one of the crew found in shark,Y,,
5052,1930.01.16,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,Torso & arm bitten,N,17h30,"White shark, 4.5 m [14'9""], identity confirmed by witness & tooth pattern"
5053,1930.01.00,Sea Disaster,MAURITIUS,,Swimming to shore after a squall  capsized their motorized shark fishing boat,M,Five men were said to have been killed by sharks ,Y,,
5054,1930.00.00.c,Unprovoked,OKINAWA,,,M,Survived,N,,
5055,1930.00.00.a,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,FATAL,Y,,
5056,1929.12.26,Unprovoked,AUSTRALIA,New South Wales,Diving by wharf,M,"FATAL, left arm severed above elbow, lacerations on chest, right thumb severed, left thigh lacerated to bone, abrasions  ",Y,,Tiger shark
5057,1929.12.21,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,Recovered at Thursday Island Hospital,N,,
5058,1929.12.16,Unprovoked,AUSTRALIA,New South Wales,Bathing or body surfing ,F,Superficial lacerations on right leg,N,,"""a small shark"""
5059,1929.12.13,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,M,Injuries to chest & arm,N,,
5060,1929.12.09.R,Unprovoked,UNKNOWN,,,M,FATAL,Y,,
5061,1929.12.03.R,Unprovoked,AUSTRALIA,Queensland,,M,FATAL,Y,,
5062,1929.11.29,Sea Disaster,KIRIBATI,Phoenix Islands,"Sea Disaster, wreck of the  SS Norwich City",M,"11 of her crew perished, most, possibly all, deaths were due to drowning",Y,,
5063,1929.11.21,Unprovoked,CUBA,Cienfuegos Province,Fishing,M,"Shark attacked his boat, threatening to capsize it. He jumped overboard & shark bit his arm. He knifed & killed shark. Later his arm was surgically amputated",N,,
5064,1929.10.20,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,M,Heel injured,N,,
5065,1929.10.02,Unprovoked,SPAIN,Valencia,Fishing ,M,Arm injured when sharks rammed his boat,N,,
5066,1929.09.01,Unprovoked,AUSTRALIA,Queensland,Fell from wharf into water & attacked immediately,M,"FATAL, severe injuries to both legs ",Y,,
5067,1929.08.05,Unprovoked,USA,South Carolina,Bathing,M,Left foot & ankle bitten,N,,
5068,1929.07.29,Unprovoked,MEXICO,Tamaulipas,Swimming,M,Right leg severed below knee,N,,
5069,1929.07.17.R,Invalid,CAPE VERDE,Santiago Island,,F,Body of woman recovered from 15' shark,U,,Shark involvement prior to death unconfirmed
5070,1929.06.23,Provoked,USA,Florida,Fishing,M,Leg bitten by hooked shark PROVOKED INCIDENT,N,,9-foot shark
5071,1929.05.31,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,M,"Injuries to both legs, buttocks, back, lower abdomen & chest",N,,
5072,1929.04.26.R,Unprovoked,AUSTRALIA,Queensland,Diving for trepang,M,Thigh bitten,N,,
5073,1929.04.17.R,Unprovoked,AUSTRALIA,Queensland,Diving for trochus,M,Lacerations to right wrist,N,,
5074,1929.04.11,Provoked,AUSTRALIA,Queensland,Standing in knee-deep water,M,Right calf severely bitten by shark caught in the net PROVOKED INCIDENT,N,13h45,"Grey nurse shark, 4' "
5075,1929.04.09,Unprovoked,AUSTRALIA,Torres Strait,,M,FATAL,Y,,
5076,1929.04.04,Unprovoked,AUSTRALIA,Torres Strait,Swimming between boats,M,FATAL,Y,,
5077,1929.03.16,Unprovoked,USA,Florida,Swimming,M,Right sole & toes lacerated,N,12h00,
5078,1929.03.12,Unprovoked,AUSTRALIA,Torres Strait,Bathing,M,FATAL,Y,,
5079,1929.03.04.b,Unprovoked,AUSTRALIA,South Australia,Launching rowboat through the surf,M,Foot bitten,N,,"""a dog shark"""
5080,1929.03.04.a,Unprovoked,AUSTRALIA,South Australia,Launching rowboat through the surf,M,Legs bitten,N,,"""a dog shark"""
5081,1929.02.18,Unprovoked,AUSTRALIA,New South Wales,Body surfing,M,"FATAL, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",Y,15h30,
5082,1929.02.09,Boating,AUSTRALIA,Western Australia,Canoeing,,"No injury, shark pushed canoe from jetty to a point 100 m away",N,,"Blue pointer, 12'"
5083,1929.02.08,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,"FATAL, right thigh bitten, femoral artery severed",Y,16h00,Galapagos shark
5084,1929.01.27,Unprovoked,AUSTRALIA,Queensland,Swimming,M,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",Y,17h30,
5085,1929.01.14,Unprovoked,NEW ZEALAND,North Island,Bathing,F,"One was bitten on the leg, the other on the arm",N,,
5086,1929.01.12,Unprovoked,AUSTRALIA,New South Wales,Body surfing,M,"FATAL, right thigh & hip bitten",Y,18h10,12' shark
5087,1929.01.06.R,Boating,TURKEY,,Fishing boat,M,FATAL,Y,,
5088,1929.01.05,Unprovoked,FIJI,Viti Levu Island,Diving for coins thrown from ship S.S. Moeraki,M,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,,
5089,1929.00.00.e.R,Invalid,AUSTRALIA,New South Wales,Swimming,M,"Later found to be fiction, never happened",U,,Invalid
5090,1929.00.00.d,Provoked,AUSTRALIA,South Australia,"Wading, netting fish",M,Bitten below the knee,N,,"""a dog shark"""
5091,1929.00.00.c,Provoked,USA,Florida,Fishing,M,Thigh lacerated by hooked shark PROVOKED INCIDENT,N,,9' shark
5092,1929.00.00.b,Unprovoked,AUSTRALIA,New South Wales,,M,Hand lacerated,N,,
5093,1929.00.00.a,Unprovoked,USA,Florida,Hardhat diving ,M,"Put hand through hatch, shark nearly bit off thumb",N,,
5094,1928.12.21,Unprovoked,AUSTRALIA,,Pearl diving,M,Injuries to arm ,N,,
5095,1928.11.18,Provoked,USA,New Jersey,Fishing,M,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",N,,"""Blue nose sharks"""
5096,1928.11.15.R,Boating,INDIA,,,M,"No injury to occupants, shark bit keel",N,,
5097,1928.11.12,Sea Disaster,USA,Virginia,"Sea Disaster, sinking of the  SS Vestris",M,FATAL,Y,,
5098,1928.11.04,Unprovoked,PANAMA,Gulf of Panama,Swimming,M,"FATAL, multiple injuries including evisceration, 3 fractures of right arm, 5 fingers  & leg severed below knee",Y,10h00,Morenos leg  & part of his swim suit found in 9' shark caught two hours after the attack. Identified as carcharhinid shark by L. Schultz & C. Limbaugh on photograph
5099,1928.09.00,Unprovoked,USA,Texas,Fishing,M,Knee bitten,N,,
5100,1928.08.24.R,Invalid,USA,New Jersey,,M,Thumb & coat sleeve recovered from shark's gut,U,,7' shark
5101,1928.07.11,Unprovoked,AUSTRALIA,,Pearl diving,M,Injuries to chest,N,,
5102,1928.07.00,Provoked,ITALY,Tuscany,Boating,M,"No injury, shark approached the boat, he hit it with and oar and fell into the sea PROVOKED INCIDENT",N,,"Species unknown, possibly a white shark"
5103,1928.06.24.R,Unprovoked,USA,Florida,Swimming,M,Bitten on leg,N,,
5104,1928.05.17,Invalid,INDIA,,,M,No details,U,13h00,Shark involvement not confirmed
5105,1928.04.14.R,Unprovoked,AUSTRALIA,Queensland,Fishing,M,Severe lacerations to arm,N,,Tiger shark
5106,1928.04.14,Unprovoked,AUSTRALIA,New South Wales,Treading water,M,Tissue of left leg stripped from knee to ankle ,N,16h00,
5107,1928.04.09,Unprovoked,JAMAICA,,Diving,M,FATAL,Y,Evening,
5108,1928.04.06,Unprovoked,AUSTRALIA,Queensland,Bathing,M,Lacerations to right leg ,N,Morning,4' shark
5109,1928.04.04,Unprovoked,AUSTRALIA,New South Wales,Standing in waist-deep water,M,"FATAL, right hand severed, large lacerations on thigh",Y,18h00,
5110,1928.03.28.R,Unprovoked,AUSTRALIA,Queensland,,M,Hip bitten,N,,
5111,1928.02.20,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,M,FATAL,Y,,
5112,1928.02.00.b,Unprovoked,COSTA RICA,Near Puntarenas,Swimming,F,Right leg severely lacerated. Surgically amputated,N,,
5113,1928.02.00.a,Unprovoked,COSTA RICA,Near Puntarenas,Swimming,M,Right leg & hand severely lacerated,N,,
5114,1928.01.27,Unprovoked,AUSTRALIA,Torres Strait,Retrieving meat from a cage in the water,M,FATAL,Y,,
5115,1928.01.21.b,Invalid,USA,Florida,Swimming,,Body not recovered ,U,Night,Shark involvement not confirmed
5116,1928.01.21.a,Invalid,USA,Florida,Jumped overboard and swimming,M,"FATAL, presumed taken by shark/s",U,Night,Shark involvement not confirmed
5117,1928.01.02,Unprovoked,SOUTH AFRICA,Eastern Cape Province,,F,Leg lacerated,N,,
5118,1928.01.00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body surfing,M,Foot bitten,N,11h00,1.2 m [4'] shark
5119,1928.00.00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Standing,M,"Tissue of right thigh removed to the bone, both thumbs & some fingers severed ",N,11h00,
5120,1927.12.28,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,"FATAL, leg bitten  ",Y,11h00,"White shark, 4.4 m [14.5'] . "
5121,1927.11.03,Sea Disaster,AUSTRALIA,New South Wales,The steamer Tahiti collided with the ferry Greycliffe,,40 people perished,Y,,
5122,1927.10.25,Sea Disaster,BRAZIL,Porto Seguro,Italian liner Principessa Mafalda sank,,"Of 1256 on board, 295 perished, some were taken by sharks",Y,12h00,
5123,1927.10.12,Unprovoked,AUSTRALIA,New South Wales,Riding horseback across the creek,M,No injury to man or horse,N,,
5124,1927.10.00,Unprovoked,FIJI,,"Standing, collecting bananas",M,Leg bitten. He survived,N,,
5125,1927.07.03,Boating,AUSTRALIA,New South Wales,,,"No injury to occupants, boat was bumped & lifted 2' out of the water by the shark",N,,
5126,1927.05.29,Sea Disaster,PHILIPPINES,Luzon Island,Sea disaster,," 55  perished, some were  taken by sharks",Y,,
5127,1927.05.09.R,Unprovoked,AUSTRALIA,Queensland,Walking,M,FATAL,Y,,
5128,1927.04.10,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,Extensive injuries to left leg,N,,
5129,1927.04.08,Unprovoked,AUSTRALIA,Queensland,Pearl diving,M,Leg injured,N,,
5130,1927.03.01,Unprovoked,AUSTRALIA,New South Wales,Body surfing / treading water,M,"Right buttock & thigh bitten, thumb removed",N,15h00,Grey nurse shark?
5131,1927.02.14,Provoked,NICARAGUA,Salinas Bay,Feeling the sharks teeth,M,"Sharkss jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",N,,
5132,1927.02.09,Unprovoked,AUSTRALIA,Queensland,Attempting to rescue drowning man,M,"No injury, but trouser leg shredded by shark",N,,
5133,1927.02.00,Provoked,NEW ZEALAND,South Island,Fishing,M,Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT,N,,Mako shark
5134,1927.01.20,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body surfing,M,Both thighs  lacerated,N,11h45,"Raggedtooth shark, 1.5 m [5'] "
5135,1927.01.08.R,Unprovoked,USA,California,Swimming,M,Lost hand,N,,
5136,1927.01.03,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,"FATAL, leg bitten from thigh to ankle",Y,11h30,3.7 m [12'] shark
5137,1927.00.00.b,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,"FATAL, shoulder bitten ",Y,,
5138,1927.00.00.a,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,M,Shoulder bitten,N,,
5139,1926.12.02.R,Unprovoked,AUSTRALIA,Torres Strait,Diving for trochus,M,FATAL,Y,,
5140,1926.11.17,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,Arm injured,N,,
5141,1926.10.29.R,Unprovoked,PAPUA NEW GUINEA,Central Province,Jumped into the water,M,"FATAL, abdomen bitten",Y,,
5142,1926.10.23.b,Unprovoked,AUSTRALIA,New South Wales,Bathing,M,"3"" laceration to leg",N,Afternoon,"Grey nurse shark, 4'"
5143,1926.10.23.a,Sea Disaster,BERMUDA,,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,,"Of 104 people in the water, only 20 survived. 84 people were lost, many to sharks. Sharks 2 pulled crew off life rafts",N,01h30,
5144,1926.09.06.R,Unprovoked,PAPUA NEW GUINEA,,Jumped out of canoe,M,FATAL,Y,,
5145,1926.08.24,Unprovoked,USA,New Jersey,Swimming,M,FATAL,Y,,
5146,1926.07.23,Unprovoked,ITALY,Golfo di Genova in the Ligurian Sea,Swimming,M,"FATAL, body was not recovered",Y,11h00,Said to involve 6 to 7 m [20' to 23'] white shark
5147,1926.07.12,Boating,USA,New Jersey,Fishing,M,No injury to occupants,N,,"""whiptail shark"" (thresher shark?)"
5148,1926.07.08,Unprovoked,USA,California,Swimming with dog near canning factory,M,Leg & hand lacerated and dog bitten,N, ,1.5 m [5'] white shark or sevengill shark
5149,1926.07.03,Invalid,SPAIN,Sants-Montjic,Bathing,M,No injury,U,,"Questionable, 2m shark suspected"
5150,1926.05.18,Unprovoked,USA,Hawaii,Swimming,M,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",Y,,"White shark, 3.8 m [12.5']  "
5151,1926.04.22,Unprovoked,SOUTH ATLANTIC OCEAN,South of the Equator ,Fell overboard from SS Ripley Castle,M,When taken back on board 2 hours later both legs were bleeding from shark bites,N,Night,
5152,1926.04.07,Unprovoked,USA,Hawaii,Swimming,F,Right leg bitten thigh to heel,N,17h30,"According to Carlsmith, the shark's mouth was 3' wide"
5153,1926.03.17,Unprovoked,AUSTRALIA,South Australia,Swimming ,F,FATAL,Y,15h45,"White shark, 3.7 m [12']  "
5154,1926.01.26,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Thigh lacerated,N,,"""a blue shark"""
5155,1926.01.00,Unprovoked,AUSTRALIA,Victoria,,M,Leg lacerated,N,,
5156,1926.00.00.d,Unprovoked,MONACO,Bay of Monaco,,M,FATAL,Y,,
5157,1926.00.00.c,Provoked,NEW ZEALAND,Cook Islands,Shark hoisted on board liner Tahiti,M,"Struck on head by sharks tail, knocked unconscious & deep gash in head PROVOKED INCIDENT",N,,
5158,1926.00.00.b,Unprovoked,SINGAPORE,,Dived onto shark from floating stage,F,"FATAL, femoral artery severed ",Y,,
5159,1926.00.00.a,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming to mail boat,M,No details,U,,
5160,1925.11.22,Unprovoked,AUSTRALIA,Western Australia,Floating on his back,M,"FATAL, thigh  & torso bitten, then shark charged rescue boat ",Y,15h15,"Tiger shark, 4 m [13'] female"
5161,1925.11.00.b,Unprovoked,USA,Puerto Rico,,F,Laceration across abdomen,N,,
5162,1925.11.00.a,Unprovoked,USA,Puerto Rico,,M,Both calves lacerated,N,,
5163,1925.09.04,Provoked,SPAIN,Valencia ,Fishing,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,
5164,1925.09.03,Unprovoked,ENGLAND,Isle of Wight,Fishing,M,No injury but shark lifted boat out of the water,N,08h00,
5165,1925.08.02,Unprovoked,USA,South Carolina,Swimming,F,"Multiple lacerations on both thighs, right buttock and hip",N,,
5166,1925.06.15,Invalid,AUSTRALIA,Western Australia,,,Human arm found in shark,U,,Shark involvement prior to death unconfirmed
5167,1925.05.00,Unprovoked,USA,Puerto Rico,,M,"Right arm nearly severed at shoulder, left wrist lacerated",N,,
5168,1925.03.27,Unprovoked,AUSTRALIA,New South Wales,Bathing in waist-deep water,M,"Left thigh bitten, leg surgically amputated ",N,17h00,Said to be a small shark
5169,1925.03.12,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,"FATAL, right forearm severed, lacerations from buttocks to heel L",Y,15h15,
5170,1925.03.10,Unprovoked,PAPUA NEW GUINEA,Central Province,Swimming,M,FATAL,Y,,
5171,1925.01.27.R,Unprovoked,USA,Florida,Swimming,M,Lacerations to arm,N,,
5172,1925.01.08,Unprovoked,CANADA,Vancouver,"Diving, repairing water main at depth of 90'",M,"Injuries, if any, unknown, but afterwards diver stunned shark with iron bar",N,,2.1 m [7'] shark
5173,1925.00.00,Unprovoked,FIJI,Viti Levu Island,Diving for coins tossed from passenger ship,M,"Both arms bitten, surgically amputated",N,,
5174,1924.11.25,Unprovoked,MEXICO,Tamaulipas,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,F,FATAL,Y,,1.8 m shark
5175,1924.11.24,Unprovoked,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean","Inebriated, woke from sleep and fell off deck into the water ",M,Knee bitten,N,After midnight,
5176,1924.11.21,Unprovoked,USA,Puerto Rico,Bathing,M,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,Late afternon,
5177,1924.10.31.R,Provoked,FRENCH POLYNESIA,Tuamotus,Pearl diving,M,Abrasions PROVOKED ATTACK,N,,
5178,1924.10.18,Unprovoked,AUSTRALIA,Victoria,Bathing,M,Leg bitten,N,,10' shark
5179,1924.07.31,Unprovoked,USA,South Carolina,Standing,M,Left knee & leg bitten. (Tooth fragment recovered from kneecap),N,,"Mako shark, 1.9 m [6.5']. Tooth fragment recovered & identified by J.T. Nichols."
5180,1924.07.14,Provoked,ENGLAND,Dorset,Fishing for mackerel,M,Arms broken by hooked shark PROVOKED INCIDENT,N,,12' shark
5181,1924.07.04,Boating,USA,California,Fishing,M,"No injury, shark tore hole in the side of the boat",N,,
5182,1924.06.18,Provoked,USA,Florida,Removing shark from a net,M,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,N,Evening,
5183,1924.04.25,Unprovoked,AUSTRALIA,New South Wales,"Fishing, fell in water & swimming strongly to shore",M,"FATAL, partial remains recovered ",Y,Afternoon,
5184,1924.04.22,Unprovoked,PANAMA,150 miles offshore,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",M,"Reported to have had ""2 fights with sharks"" before being rescued by the British freighter Dorsetafter 23 hours in the water",N,,
5185,1924.04.20,Invalid,AUSTRALIA,Western Australia,Swimming ,M,Abrasions,U,,Questionable
5186,1924.03.28.R,Unprovoked,SOLOMON ISLANDS,Central Province,Swimming,M,"Left arm severed, leg bitten",N,,
5187,1924.03.24,Boating,SPAIN,Galica,Fishing,,"No injury to occupants, shark bit boat",N,,3.5 m shark
5188,1924.02.13,Unprovoked,AUSTRALIA,New South Wales,Bathing in 5' of water,F,"Legs severely bitten, surgically amputated",N,19h00,
5189,1924.02.08,Invalid,AUSTRALIA,Queensland,Bathing,M,Probable drowning & scavenging,U,16h00,Shark involvement prior to death unconfirmed
5190,1924.01.29,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,FATAL,Y,15h15,
5191,1924.01.25,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Foot lacerated,N,Afternoon,
5192,1924.01.19,Unprovoked,AUSTRALIA,New South Wales,Had just dived into water & was swimming,M,"FATAL, right thigh severely bitten, left arm lacerated ",Y,16h00,3 m [10'] shark
5193,1923.12.12,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Lacerations to leg,N,,
5194,1923.12.02,Unprovoked,AUSTRALIA,New South Wales,"Fishing, standing in waist-deep water",M,"FATAL, disappeared, thought to have been taken by a shark ",Y,,
5195,1923.11.23,Unprovoked,AUSTRALIA,Western Australia,Dry shelling,M,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",Y,,
5196,1923.11.02,Invalid,AUSTRALIA,New South Wales,Fishing,M,FATAL,U,,Shark involvement suspected but not confirmed
5197,1923.10.20,Invalid,AUSTRALIA,New South Wales,Sailing,M,"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s",U,,Shark involvement prior to death unconfirmed
5198,1923.10.17,Boating,AUSTRALIA,New South Wales,Fishing,,"No injury to occupants, shark bit boat",N,,"""a very large shark"""
5199,1923.10.16,Unprovoked,AUSTRALIA,Torres Strait,Pearl diving,M,"Arm severed, but survived",N,,
5200,1923.08.08,Unprovoked,GUYANA,Demerara County,Fishing,M,Puncture wounds to left leg,N,01h00,
5201,1923.07.02.R,Unprovoked,AUSTRALIA,Queensland,Diving for pearl,M,non-fatal,N,,
5202,1923.06.16,Boating,AUSTRALIA,New South Wales,"After rowing skiff was holed by shark, he was attempting to swim ashore",M,"FATAL, taken by shark. Two other men drowned,  only 1 man survived",Y,,
5203,1923.06.06,Boating,MEXICO,Vera Cruz,Dismantling cable buoys of the cable ship All America,,"No injury to occupants, shark rammed boat",N,,
5204,1923.05.23.R,Unprovoked,AUSTRALIA,Western Australia,Wading,M,Minor puncture wounds to foot,N,,
5205,1923.05.22,Unprovoked,AUSTRALIA,Queensland,Diving?,M,FATAL,Y,Midday,
5206,1923.03.18,Unprovoked,AUSTRALIA,Queensland,Diving,M,Lacerations to right thigh and knee,N,,
5207,1923.02.00,Unprovoked,USA,Puerto Rico,Swimming ,M,"Right calf, right side of abdomen & left wrist & hand bitten",N,,
5208,1923.01.27.b,Invalid,AUSTRALIA,Western Australia,,M,Death may have been due to drowning,U,,Shark involvement prior to death was not confirmed
5209,1923.01.27.a,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,"FATAL, back of thigh bitten ",Y,,
5210,1923.01.13,Invalid,CUBA,Caribbean Sea,seaplane Columbus ditched in the sea,M,"Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived",U,,"Atkins' remains were recovered from a dusky shark, C. obscurus, by Capt. W. F. Young, shark fisherman"
5211,1923.00.00.c,Boating,USA,New Jersey,Fishing,M,No injury to occupant Shark struck boat,N,,
5212,1923.00.00.b,Unprovoked,PHILIPPINES, Manila Bay,,M,"FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died  ",Y,,
5213,1923.00.00.a,Provoked,USA,New Jersey,Hoisting shark aboard fishing boat,M,Shark's tail broke his leg. PROVOKED INCIDENT,N,,
5214,1923.00.00.a,Provoked,USA,New Jersey,Hoisting shark aboard fishing boat,M,Shark's tail broke his leg. PROVOKED INCIDENT,N,,
5215,1922.12.14,Unprovoked,USA,Puerto Rico,Bathing,F,"FATAL, hip & thigh bitten with  tissue removed, including bone ",Y,,
5216,1922.12.05,Unprovoked,AUSTRALIA,Queensland,Bathing in 3' to 4' of water,M,"FATAL, severe injuries to torso  ",Y,09h15,"2.7 m [9'] ""blue"" shark"
5217,1922.09.29,Unprovoked,BARBADOS,Lucy,Fishing,M,FATAL,Y,,
5218,1922.10.29,Invalid,AUSTRALIA,New South Wales,Sailing,M,"FATAL, but shark involvement prior to death unconfirmed",U,,Shark involvement prior to death unconfirmed
5219,1922.09.28,Unprovoked,USA,Hawaii,"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",M,Survived,N,,
5220,1922.09.26.R,Unprovoked,ENGLAND,East Yorkshire,Swimming ,M,FATAL,Y,,
5221,1922.09.21.R,Boating,USA,Massachusetts,Fishing,,"No injury to occupants, shark splintered stern",N,,"""A pack of 6 sharks"""
5222,1922.07.19,Unprovoked,USA,Florida,,M,Leg bitten,N,,
5223,1922.06.17,Unprovoked,USA,Florida,Floating,F,"FATAL, thigh bitten",Y,,1.8 m [6'] shark
5224,1922.05.24,Unprovoked,JAMAICA,Westmoreland Parish,Swimming,M,"FATAL, arm severed, thigh severely bitten  ",Y,10h00,6' shark
5225,1922.05.06,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,Abdomen & thigh bitten,N,A.M.,"White shark, 12', identity confirmed by tooth fragment, witness and photograph of captured shark "
5226,1922.04.26,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,FATAL,Y,,
5227,1922.03.20,Unprovoked,JAMAICA,Kingston Parish,Fishing,M,Survived,N,,
5228,1922.03.13,Unprovoked,JAMAICA,Kingston Parish,Standing,F,"FATAL, right leg severed at thigh ",Y,,2.7 m [9'] shark later captured by Mitchell-Hedges
5229,1922.03.02,Unprovoked,AUSTRALIA,New South Wales,Bathing in knee-deep water,M,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",Y,11h00,"White shark, 2.4 m [8'] "
5230,1922.02.22.R,Invalid,AUSTRALIA,New South Wales,Swimming,M,"Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed",U,,Shark involvement prior to death unconfirmed
5231,1922.02.04,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,"FATAL, both arms & shoulder bitten",Y,15h30,White shark
5232,1922.01.28.R,Unprovoked,IRAQ,,Bathing,M,FATAL,Y,,
5233,1922.01.15,Unprovoked,AUSTRALIA,Queensland,Swimming ,M,FATAL,Y,17h30,
5234,1922.01.13,Unprovoked,AUSTRALIA,New South Wales,Standing,M,Small laceration on left thigh & swim costume torn,N,18h00,Grey nurse shark?
5235,1922.01.04,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"FATAL, disappeared, then his shark-bitten remains washed ashore ",Y,Evening,
5236,1921.12.11,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Survived,N,,
5237,1921.11.27.b,Unprovoked,AUSTRALIA,Queensland,Fell from his father's back into the water,M,"FATAL, disappeared, body not recovered",Y,Morning,
5238,1921.11.27.a,Unprovoked,AUSTRALIA,Queensland,"Wading to dinghy, carrying his son",M,"Right hip, buttock, elbow, arm & wrist bitten",N,Morning,
5239,1921.11.15.R,Unprovoked,FIJI,Viti Levu Island,Swimming,,FATAL,Y,,
5240,1921.10.12,Unprovoked,AUSTRALIA,Queensland,Diving for beche-de-mer ,M,Lacerations to right arm & chest,N,,
5241,1921.10.04,Unprovoked,AUSTRALIA,Queensland,Diving for beche-de-mer,M,"Left thigh bitten, FATAL",Y,Afternoon,
5242,1921.09.00,Provoked,ENGLAND,Dorset,Fishing,M,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,N,,"Blue shark, 4' "
5243,1921.08.29.R,Unprovoked,AUSTRALIA,Torres Strait,,M,Lacerations to arm,N,,
5244,1921.08.28,Unprovoked,PHILIPPINES,Luzon Island,Swimming,M,"FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  ",Y,15h00,
5245,1921.07.21,Unprovoked,CUBA,,Fell overboard,M,FATAL,Y,,
5246,1921.01.11.R,Invalid,PHILIPPINES,"Cavite Province, Luzon",,,Buttons & shoes found in shark caught in fish trap,U,,Questionable
5247,1920.11.29,Unprovoked,AUSTRALIA,Western Australia,Wading,M,Lacerations to leg & hand,N,,4' to 5' shark
5248,1921.08.22,Unprovoked,HAITI,Cape Haitien,Dived into a school of baitfish,M,"FATAL, large wound on thigh",Y,15h30,Comrades saw shark's tail appear about 5' away
5249,1920.11.22,Unprovoked,AUSTRALIA,Western Australia,Standing,M,"Minor injuries to leg, hand & fingers",N,,"15* to 24"" dog shark"
